CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
DE,Germany,DEG,Thüringen,526.8639688,Regional,73.39860657,National,2525.048754,National,333.508563,Dark Red,2022-03
DK,Denmark,DK01,Hovedstaden,8715.113517,Regional,81.22199032,National,55298.11925,Regional,5175.819189,Dark Red,2022-03
DK,Denmark,DK02,Sjælland,7304.274511,Regional,81.22199032,National,58560.30687,Regional,4337.935943,Dark Red,2022-03
DK,Denmark,DK03,Syddanmark,7266.260869,Regional,81.22199032,National,57342.25598,Regional,4315.360019,Dark Red,2022-03
DK,Denmark,DK04,Midtjylland,7360.933094,Regional,81.22199032,National,55351.2674,Regional,4371.584912,Dark Red,2022-03
DK,Denmark,DK05,Nordjylland,6344.925551,Regional,81.22199032,National,54854.93342,Regional,3768.188143,Dark Red,2022-03
EE,Estonia,EE,Eesti,3212.247625,National,60.79869012,National,6041.869831,National,2235.745385,Dark Red,2022-03
EL,Greece,EL30,Attiki,2790.7131,Regional,68.01899321,National,44385.44909,Regional,1841.605623,Dark Red,2022-03
EL,Greece,EL41,Voreio Aigaio,1963.69752,Regional,68.01899321,National,35968.73421,Regional,1295.853879,Dark Red,2022-03
EL,Greece,EL42,Notio Aigaio,2679.331937,Regional,68.01899321,National,45823.45358,Regional,1768.104633,Dark Red,2022-03
EL,Greece,EL43,Kriti,3702.097709,Regional,68.01899321,National,52336.19899,Regional,2443.032914,Dark Red,2022-03
EL,Greece,EL51,"Anatoliki Makedonia, Thraki",2301.821043,Regional,68.01899321,National,47979.91357,Regional,1518.983293,Dark Red,2022-03
EL,Greece,EL52,Kentriki Makedonia,2185.885171,Regional,68.01899321,National,47309.49489,Regional,1442.476628,Dark Red,2022-03
EL,Greece,EL53,Dytiki Makedonia,2342.539767,Regional,68.01899321,National,42900.97102,Regional,1545.853784,Dark Red,2022-03
EL,Greece,EL54,Ipeiros,2345.580844,Regional,68.01899321,National,42471.90674,Regional,1547.860606,Dark Red,2022-03
EL,Greece,EL61,Thessalia,2251.805654,Regional,68.01899321,National,45602.87506,Regional,1485.977886,Dark Red,2022-03
EL,Greece,EL62,Ionia Nisia,2431.712684,Regional,68.01899321,National,50603.74405,Regional,1604.699441,Dark Red,2022-03
EL,Greece,EL63,Dytiki Ellada,2633.070431,Regional,68.01899321,National,42339.09057,Regional,1737.576432,Dark Red,2022-03
EL,Greece,EL64,Sterea Ellada,1938.30238,Regional,68.01899321,National,38164.79077,Regional,1279.095498,Dark Red,2022-03
EL,Greece,EL65,Peloponnisos,2209.381789,Regional,68.01899321,National,40813.5265,Regional,1457.982164,Dark Red,2022-03
ES,Spain,ES11,Galicia,3548.075329,Regional,75.8748397,National,3719.207339,Regional,2202.027095,Dark Red,2022-03
ES,Spain,ES12,Principado de Asturias,3854.454661,Regional,75.8748397,National,5120.821593,Regional,2392.174013,Dark Red,2022-03
ES,Spain,ES13,Cantabria,4306.235705,Regional,75.8748397,National,5268.995927,Regional,2672.560986,Dark Red,2022-03
ES,Spain,ES21,País Vasco,4283.786586,Regional,75.8748397,National,3603.427468,Regional,2658.628484,Dark Red,2022-03
ES,Spain,ES22,Comunidad Foral de Navarra,5291.473537,Regional,75.8748397,National,4791.404231,Regional,3284.025005,Dark Red,2022-03
ES,Spain,ES23,La Rioja,5333.126537,Regional,75.8748397,National,2553.722174,Regional,3309.875932,Dark Red,2022-03
ES,Spain,ES24,Aragón,5099.399925,Regional,75.8748397,National,4483.614253,Regional,3164.819165,Dark Red,2022-03
ES,Spain,ES30,Comunidad de Madrid,2827.242885,Regional,75.8748397,National,3257.296355,Regional,1754.659882,Dark Red,2022-03
ES,Spain,ES41,Castilla y León,4202.128258,Regional,75.8748397,National,3798.306506,Regional,2607.949218,Dark Red,2022-03
ES,Spain,ES42,Castilla-La Mancha,3364.956388,Regional,75.8748397,National,3292.506578,Regional,2088.378755,Dark Red,2022-03
ES,Spain,ES43,Extremadura,3609.393406,Regional,75.8748397,National,4514.213558,Regional,2240.082676,Dark Red,2022-03
ES,Spain,ES51,Cataluña,5967.018228,Regional,75.8748397,National,9932.389379,Regional,3703.28547,Dark Red,2022-03
ES,Spain,ES52,Comunitat Valenciana,4984.032699,Regional,75.8748397,National,3108.180575,Regional,3093.219289,Dark Red,2022-03
ES,Spain,ES53,Illes Balears,4350.0382,Regional,75.8748397,National,4984.69925,Regional,2699.745945,Dark Red,2022-03
